district,age_recoded,uses_bike,n,prop,district_name
1,"(0,16]",TRUE,34,0.2698412698412698,CIUTAT VELLA
2,"(0,16]",TRUE,66,0.1935483870967742,EIXAMPLE
3,"(0,16]",TRUE,42,0.1826086956521739,SANTS - MONTJUÏC
4,"(0,16]",TRUE,11,0.11,LES CORTS
5,"(0,16]",TRUE,15,0.08522727272727272,SARRIÀ - SANT GERVASI
6,"(0,16]",TRUE,18,0.11920529801324503,GRÀCIA
7,"(0,16]",TRUE,17,0.07981220657276995,HORTA - GUINARDÓ
8,"(0,16]",TRUE,23,0.11057692307692307,NOU BARRIS
9,"(0,16]",TRUE,30,0.16304347826086957,SANT ANDREU
10,"(0,16]",TRUE,54,0.18493150684931506,SANT MARTÍ
1,"(16,25]",TRUE,9,0.25,CIUTAT VELLA
2,"(16,25]",TRUE,31,0.34444444444444444,EIXAMPLE
3,"(16,25]",TRUE,16,0.3018867924528302,SANTS - MONTJUÏC
4,"(16,25]",TRUE,6,0.2727272727272727,LES CORTS
5,"(16,25]",TRUE,8,0.125,SARRIÀ - SANT GERVASI
6,"(16,25]",TRUE,9,0.19148936170212766,GRÀCIA
7,"(16,25]",TRUE,5,0.0847457627118644,HORTA - GUINARDÓ
8,"(16,25]",TRUE,10,0.17857142857142858,NOU BARRIS
9,"(16,25]",TRUE,14,0.30434782608695654,SANT ANDREU
10,"(16,25]",TRUE,27,0.32926829268292684,SANT MARTÍ
1,"(25,40]",TRUE,26,0.25,CIUTAT VELLA
2,"(25,40]",TRUE,48,0.25396825396825395,EIXAMPLE
3,"(25,40]",TRUE,28,0.1958041958041958,SANTS - MONTJUÏC
4,"(25,40]",TRUE,8,0.15384615384615385,LES CORTS
5,"(25,40]",TRUE,10,0.12658227848101267,SARRIÀ - SANT GERVASI
6,"(25,40]",TRUE,11,0.12941176470588237,GRÀCIA
7,"(25,40]",TRUE,14,0.13592233009708737,HORTA - GUINARDÓ
8,"(25,40]",TRUE,17,0.16037735849056603,NOU BARRIS
9,"(25,40]",TRUE,18,0.18181818181818182,SANT ANDREU
10,"(25,40]",TRUE,44,0.2857142857142857,SANT MARTÍ
1,"(40,65]",TRUE,29,0.21804511278195488,CIUTAT VELLA
2,"(40,65]",TRUE,46,0.12813370473537605,EIXAMPLE
3,"(40,65]",TRUE,17,0.06854838709677419,SANTS - MONTJUÏC
4,"(40,65]",TRUE,14,0.12389380530973451,LES CORTS
5,"(40,65]",TRUE,16,0.07960199004975124,SARRIÀ - SANT GERVASI
6,"(40,65]",TRUE,15,0.09554140127388536,GRÀCIA
7,"(40,65]",TRUE,14,0.06422018348623854,HORTA - GUINARDÓ
8,"(40,65]",TRUE,9,0.04186046511627907,NOU BARRIS
9,"(40,65]",TRUE,14,0.06896551724137931,SANT ANDREU
10,"(40,65]",TRUE,49,0.14893617021276595,SANT MARTÍ
1,"(65,80]",TRUE,2,0.05263157894736842,CIUTAT VELLA
2,"(65,80]",TRUE,8,0.050314465408805034,EIXAMPLE
4,"(65,80]",TRUE,1,0.018518518518518517,LES CORTS
5,"(65,80]",TRUE,4,0.05194805194805195,SARRIÀ - SANT GERVASI
7,"(65,80]",TRUE,1,0.008928571428571428,HORTA - GUINARDÓ
8,"(65,80]",TRUE,1,0.009345794392523364,NOU BARRIS
9,"(65,80]",TRUE,1,0.0125,SANT ANDREU
10,"(65,80]",TRUE,2,0.01680672268907563,SANT MARTÍ
3,"(80,100]",TRUE,1,0.034482758620689655,SANTS - MONTJUÏC
4,"(80,100]",TRUE,1,0.07142857142857142,LES CORTS
